State,Has_State_Income_Tax
Alabama,Yes
Alaska,No
Arizona,Yes
Arkansas,Yes
California,Yes
Colorado,Yes
Connecticut,Yes
DC,Yes
Delaware,Yes
Florida,No
Georgia,Yes
Hawaii,Yes
Idaho,Yes
Illinois,Yes
Indiana,Yes
Iowa,Yes
Kansas,Yes
Kentucky,Yes
Louisiana,Yes
Maine,Yes
Maryland,Yes
Massachusetts,Yes
Michigan,Yes
Minnesota,Yes
Mississippi,Yes
Missouri,Yes
Montana,Yes
Nebraska,Yes
Nevada,No
New Hampshire,Yes
New Jersey,Yes
New Mexico,Yes
New York,Yes
North Carolina,Yes
North Dakota,Yes
Ohio,Yes
Oklahoma,Yes
Oregon,Yes
Pennsylvania,Yes
Rhode Island,Yes
South Carolina,Yes
South Dakota,No
Tennessee,Yes
Texas,No
Utah,Yes
Vermont,Yes
Virginia,Yes
Washington,No
West Virginia,Yes
Wisconsin,Yes
Wyoming,No
